Date,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Vélo"" (ms)","Durée de l'activité ""Inactif"" (ms)","Durée de l'activité ""Marche à pied"" (ms)","Durée de l'activité ""Course à pied"" (ms)","Durée de l'activité ""Elliptique"" (ms)","Durée de l'activité ""Entraînement fractionné haute intensité"" (ms)"
2015-03-06,,,323451.8405716281,,,,,,,,,,12705,,,,582905,44348002,5133217,187858,,
2015-03-07,,,68418.73252469188,,,,,,,,,,6802,,,,,73770835,1876871,77252,,
2015-03-08,,,4278.098007383166,,,,,,,1.4921016862156247,3.4003677368164062,0.5,1633,,,,,86134788,12659,,,
2015-03-09,,,5945.335993064288,,,,,,,1.7324818637885986,8.45946216583252,0.5,10783,,,,372952,78595857,5451059,,,
2015-03-10,,,,,,,,,,,,,10522,,,,,72144568,4658173,,,
2015-03-11,,,,,,,,,,,,,6461,,,,,81378430,2598537,,,
2015-03-12,,,,,,,,,,,,,9972,,,,,78800832,4593622,,,
2015-03-13,,,,,,,,,,,,,9185,,,,,74217307,5245681,,,
2015-03-14,,,4842.0,,,,,,,1.3341636626081426,2.5,0.55901700258255,11866,,,,,68725485,6872484,,,
2015-03-15,,,191.0,,,,,,,1.782170013735347,2.1213202476501465,0.7071067690849304,2977,,,,,82256536,913228,,,
2015-03-16,,,98467.50884246826,,,,,,,1.4028422257494306,10.307764053344727,0.5,6823,,,,,74129358,3044277,,,
2015-03-17,,,,,,,,,,,,,8703,,,,1143894,74690904,3172566,188852,,
2015-03-18,,,,,,,,,,,,,8467,,,,,79038492,3333122,,,
2015-03-19,,,,,,,,,,,,,7218,,,,,78475135,4172563,,,
2015-03-20,,,,,,,,,,,,,9678,,,,,75883201,5312662,,,
2015-03-21,,,,,,,,,,,,,6360,,,,,81309040,3015087,175333,,
2015-03-22,,,,,,,,,,,,,2901,,,,,84650291,1511503,,,
2015-03-23,,,,,,,,,,,,,13494,,,,,73906641,7970763,,,
2015-03-24,,,,,,,,,,,,,8953,,,,,76192916,4181999,,,
2015-03-25,,,,,,,,,,,,,10321,,,,,79554781,6410066,,,
2015-03-26,,,,,,,,,,,,,7759,,,,,74965249,3942566,128713,,
2015-03-27,,,,,,,,,,,,,6923,,,,,76631940,4604301,,,
2015-03-28,,,,,,,,,,,,,4702,,,,,81240526,2617733,,,
2015-03-29,,,,,,,,,,,,,3559,,,,511203,80489556,591229,,,
2015-03-30,,,,,,,,,,,,,10193,,,,,73669739,5407640,,,
2015-03-31,,,,,,,,,,,,,6319,,,,1600537,80511308,2573489,,,
2015-04-01,,,,,,,,,,,,,6050,,,,,82052511,2984251,170822,,
2015-04-02,,,,,,,,,,,,,7864,,,,424058,80234307,3734076,,,
2015-04-03,,,,,,,,,,,,,9861,,,,,79759093,5623658,,,
2015-04-04,,,,,,,,,,,,,4020,,,,,83555143,1775233,,,
2015-04-05,,,,,,,,,,,,,1596,,,,,68197421,592023,,,
2015-04-06,,,,,,,,,,,,,2977,,,,,84950470,1048086,,,
2015-04-07,,,,,,,,,,,,,14018,,,,,73762867,8273323,,,
2015-04-08,,,,,,,,,,,,,9260,,,,,78747151,5226107,,,
2015-04-09,,,,,,,,,,,,,12448,,,,,78205592,7102478,,,
2015-04-10,,,,,,,,,,,,,12487,,,,,78023162,6274699,,,
2015-04-11,,,,,,,,,,,,,6458,,,,,79673474,3355870,,,
2015-04-12,,,,,,,,,,,,,4690,,,,1341318,82669096,1757858,,,
2015-04-13,,,,,,,,,,,,,12216,,,,,78378108,6120717,234767,,
2015-04-14,,,,,,,,,,,,,9087,,,,1714579,75402610,4692590,,,
2015-04-15,,,,,,,,,,,,,8101,,,,,78162756,3484725,,,
2015-04-16,,,,,,,,,,,,,6650,,,,,79619360,3931098,136004,,
2015-04-17,,,,,,,,,,,,,7572,,,,,63853679,4861845,,,
2016-10-06,,25.975833892822266,,,,,,,,,,,,,,,,,,,,183000
2016-10-09,,320.7437438964844,,,,,,,,,,,,,,,,,,2109000,,
2018-08-14,62,797.5679580029538,2809.8892962932587,1.0,1,58.1957687,-6.7925762,58.2966549,-6.3843804,2.2478540833385106,12.9399995803833,0.27251195907592773,4515,,,,,17209822,4095733,,,
2018-08-15,76,1903.7734631376948,3532.0200383663177,3.0,3,,,,,0.6414083079791262,4.0,0.3104889690876007,5826,,,,,72762160,5830508,,,
2018-08-16,142,2240.644910194926,5220.246625542641,3.0,3,57.4803051,-4.2268766,57.4816409,-4.2242866,0.4935407107210636,4.0,0.03617078810930252,10341,,,,,68306945,11302377,,,
2018-08-17,77,2145.2755611265775,3079.002538919449,7.0,7,57.4770836,-4.2268474,57.4802487,-4.2249116,0.5728229499937445,1.5299999713897705,0.22603100538253784,6870,,,,,79473425,6926575,,,
2018-08-18,85,2059.7336528680594,3552.3749512434006,5.0,5,57.1071342,-3.9805907,57.2037055,-3.8229811,0.7338370343432764,3.0,0.22996662557125092,6058,,,,,68864597,5747258,,,
2018-08-19,114,2188.91301086253,5844.704313695431,23.0,23,57.1621806,-3.8243807,57.2027557,-3.701106,0.594924344728943,1.4174412488937378,0.3102388083934784,9751,,,,,74008612,8368302,,,
2018-08-20,143,2310.4883277035265,6817.838405286544,12.0,12,53.7934416,-1.5484903,53.7991148,-1.5442317,26.26776060830882,144.0,0.20710766315460205,9320,,,,,52244697,9836389,,,
2018-08-21,95,2001.076661307761,5882.714363157749,25.0,25,53.7933283,-1.5526837,53.7998094,-1.5361023,0.7377371157535978,7.0,0.2074255496263504,7922,,,,,67090157,5851054,,,
2018-08-22,,1754.0899302517848,,,,,,,,,,,50,,,,,86363189,36811,,,
2018-08-23,15,1824.481661971139,562.5439028739929,1.0,1,,,,,0.6243706649705277,1.2207084894180298,0.2615191638469696,1442,,,,,63666157,1375390,,,
2018-08-24,39,1927.0500414957003,2479.819203853607,23.0,23,,,,,0.4336925222027169,1.6807135343551636,0.29919108748435974,4345,,,,,82005404,3083074,,,
2018-08-25,17,1701.3627129145455,485.50130343437195,,,,,,,0.5068072798100159,1.3806129693984985,0.31382298469543457,1551,,,,,83301312,1475457,,,
2018-08-26,5,1561.5302817669256,10.838750839233398,,,,,,,0.601344108581543,0.601344108581543,0.601344108581543,349,65.0,65.0,65.0,,86369729,30271,,,
2018-08-27,36,1633.5792089252207,1408.0326273441315,6.0,6,,,,,0.6711170956381914,1.6464072465896606,0.2667972445487976,2714,,,,,83779024,2620976,,,
2018-08-28,66,1706.2064874801456,2705.321702480316,21.0,21,48.7136316,2.2431247,48.7196412,2.247647,0.6636942418934663,2.7100000381469727,0.2874234914779663,5087,,,,,82320684,4079316,,,
2018-08-29,73,1755.9320586025694,3240.062800526619,26.0,26,48.7120169,2.243083,48.719666,2.249232,0.7326674125898615,3.0,0.2537212371826172,5639,,,,,80840224,5048913,,,
2018-08-30,50,1624.0116790065276,2547.4841504096985,26.0,18,48.7123659,2.242225,48.7196177,2.2476936,1.9535587102810232,10.329999923706055,0.3158389925956726,4087,,,,,78106142,2749149,,,
2018-08-31,45,1654.1685616618845,2351.7295138835907,23.0,22,48.7115659,2.2426358,48.719666,2.2479444,1.1145592568110363,2.7300000190734863,0.29886046051979065,4526,,,,,81999590,3061069,,,
2018-09-01,9,1538.8966901063504,245.4658352136612,,,,,,,0.34623155352534757,0.7592520117759705,0.3101649582386017,690,,,,,85222455,816943,,,
2018-09-02,44,1565.5656869036432,611.3858766555786,8.0,8,,,,,0.7934704750787417,1.5595216751098633,0.2550294101238251,1762,,,,564217,84089515,1746268,,,
2018-09-03,58,1697.7057594642956,2059.977770924568,9.0,7,48.7196654,2.2477943,48.7196654,2.2477943,0.6662228807573305,1.8023451566696167,0.2752896547317505,4042,,,,,75156465,4578967,,,
2018-09-04,86,1744.5247969302359,3441.238025188446,25.0,25,,,,,0.4688429340921301,1.673680305480957,0.2550294101238251,6520,,,,,77816781,4826483,,,
2018-09-05,82,1709.4044293648144,3573.576379299164,25.0,25,,,,,0.6904523516869039,1.5993322134017944,0.29092931747436523,6043,,,,,77938408,4248886,,,
2018-09-06,57,1659.1751280157207,2233.410608291626,15.0,14,,,,,0.6259417406906256,1.727804183959961,0.26565563678741455,3967,,,,,78859071,3162250,,,
2018-09-07,55,1531.1904963078996,1546.2166842222214,7.0,7,,,,,0.7185416134040599,1.6462665796279907,0.31730666756629944,3170,,,,,78243549,2398432,,,
2018-09-08,49,1641.2824613582652,1506.694949388504,4.0,4,,,,,0.5718774840353292,1.4539045095443726,0.2550294101238251,3021,,,,,76380687,3601199,,,
2018-09-09,81,1684.7226540960544,1495.1397389173508,1.0,1,,,,,0.6161499204831377,1.3796021938323975,0.2550294101238251,4042,,,,113344,82504631,3539078,,,
2018-09-10,76,1770.951840596927,2669.7130887508392,12.0,12,,,,,0.613737373202309,1.692138671875,0.26565563678741455,5097,,,,,78565905,5341784,,,
2018-09-11,79,1765.260703853779,3918.852498292923,29.0,28,,,,,0.5234754026371964,2.799999952316284,0.25454097986221313,6253,,,,,76631032,5230813,,,
2018-09-12,56,1719.4846440460153,2216.584404706955,15.0,13,,,,,0.68330386325163,1.932793378829956,0.24951399862766266,4249,,,,,77806578,4338225,,,
2018-09-13,58,1645.8883443990592,1769.3632675409317,7.0,7,,,,,0.7615422173977809,1.7070717811584473,0.2603096067905426,3582,,,,,79735640,2903174,,,
2018-09-14,87,1763.3715784319897,3379.2597774267197,22.0,20,,,,,0.6617501874407922,1.7263751029968262,0.2550294101238251,5842,,,,,76731706,6053359,,,
2018-09-15,27,1581.9907395164807,481.4727346897125,,,,,,,0.6620005283361153,0.9457463026046753,0.2511240839958191,1611,,,,,84440508,1657233,,,
2018-09-16,18,1537.163013950547,233.76782929897308,,,,,,,0.5791942716441869,1.0484479665756226,0.3122662901878357,1419,,,,,85616863,783137,,,
2018-09-17,109,1786.9012916378433,4476.417448818684,26.0,26,48.7151013,2.246057,48.7197045,2.2479904,0.649773069808173,7.0,0.25027358531951904,7687,,,,,75986892,6344045,,,
2018-09-18,81,1774.916025781956,3355.232456803322,21.0,21,,,,,0.7940788696401567,1.6409372091293335,0.26720374822616577,5744,,,,,76546520,5419081,,,
2018-09-19,86,1754.369840367446,3613.6728422641754,28.0,28,,,,,0.8887524417383441,1.608902096748352,0.27257850766181946,6568,,,,,72157172,5018450,,,
2018-09-20,91,1747.1531025788286,3509.0612223148346,20.0,20,,,,,0.6207249711333648,1.6853907108306885,0.29813137650489807,6435,,,,,77095665,4877636,,,
2018-09-21,62,1681.9306121294112,2727.427572488785,12.0,12,,,,,0.5995485840601912,1.6416916847229004,0.2550294101238251,4777,,,,,76666103,5575646,,,
2018-09-22,68,1689.7210606348624,3176.2744410037994,26.0,26,,,,,0.5500563859901999,1.5811913013458252,0.297534316778183,5826,,,,,82642133,3757867,,,
